"Facility_ID","Facility_Name","Facility_Type","Latitude","Longitude","Nearest_Major_Road","Distance_to_Highway_m","Buffer_Zone"
"PAT-FAC-0175","Panchlok Diagnostic Centre","Hospital / Healthcare","25.61081","85.133084","Bailey Road","20.2","Within 500m (High Direct Access)"
"PAT-FAC-0176","Child Hospital","Hospital / Healthcare","25.610827","85.132796","Bailey Road","16","Within 500m (High Direct Access)"
"PAT-FAC-0177","Baby & Child Hospital","Hospital / Healthcare","25.587118","85.119069","NH Corridor (NH139)","379.9","Within 500m (High Direct Access)"
"PAT-FAC-0178","Shiv Shakti Hospital","Hospital / Healthcare","25.619642","85.124256","Ashok Rajpath","443.1","Within 500m (High Direct Access)"
"PAT-FAC-0179","Neurology Clinic","Hospital / Healthcare","25.61293","85.113509","Atal Path Flyover","66.2","Within 500m (High Direct Access)"
"PAT-FAC-0180","Guru Kripa Paali Clinic","Hospital / Healthcare","25.57946","85.124609","NH Corridor (NH22)","312","Within 500m (High Direct Access)"
"PAT-FAC-0181","Patna Heart Hospital","Hospital / Healthcare","25.618144","85.126319","Ashok Rajpath","596.3","500m - 1000m (Intermediate Access)"
"PAT-FAC-0182","Dr. V.K. Sinha Clinic","Hospital / Healthcare","25.619555","85.121665","Ashok Rajpath","528.2","500m - 1000m (Intermediate Access)"
"PAT-FAC-0183","Dr. Sachidanand Sinha Ent","Hospital / Healthcare","25.619629","85.126036","Ashok Rajpath","432.6","Within 500m (High Direct Access)"
"PAT-FAC-0184","Yash Ortho and General Health Care Clinic","Hospital / Healthcare","25.629551","85.059284","Major City Arterial","1178.9","1000m - 2000m (Secondary Access)"
"PAT-FAC-0185","Balaji Heart Centre","Hospital / Healthcare","25.610878","85.114601","Atal Path","39.2","Within 500m (High Direct Access)"
"PAT-FAC-0186","Jagdamba Hospital","Hospital / Healthcare","25.576631","85.127197","NH Corridor (NH22)","14.1","Within 500m (High Direct Access)"
"PAT-FAC-0187","Nu-Life Clinic","Hospital / Healthcare","25.595293","85.121913","NH Corridor (NH139)","160.6","Within 500m (High Direct Access)"
"PAT-FAC-0188","Ayush Hospital","Hospital / Healthcare","25.579441","85.124925","NH Corridor (NH22)","281.4","Within 500m (High Direct Access)"
"PAT-FAC-0189","Prabha Clinic","Hospital / Healthcare","25.579845","85.125036","NH Corridor (NH22)","285","Within 500m (High Direct Access)"
"PAT-FAC-0190","Kankarbagh police station","Police Station / Emergency","25.598358","85.155974","kankarbagh main road","498.1","Within 500m (High Direct Access)"
"PAT-FAC-0191","College of Commerce, Arts and Science","College / University","25.601273","85.162014","Kumhrar Road","102.5","Within 500m (High Direct Access)"
"PAT-FAC-0192","Indian Oil","Fuel / Petrol Pump","25.601633","85.166724","Kumhrar Road","12.3","Within 500m (High Direct Access)"
"PAT-FAC-0193","Indian Oil","Fuel / Petrol Pump","25.611187","85.159129","Ashok Raj Path","913.9","500m - 1000m (Intermediate Access)"
"PAT-FAC-0194","Indian Oil","Fuel / Petrol Pump","25.60213","85.146269","Chiriya Taar overbridge","91.8","Within 500m (High Direct Access)"
"PAT-FAC-0195","Patliputra Univerity","College / University","25.60239","85.159461","Kumhrar Road","17.7","Within 500m (High Direct Access)"
"PAT-FAC-0196","Indian Oil","Fuel / Petrol Pump","25.597769","85.15707","kankarbagh main road","560.7","500m - 1000m (Intermediate Access)"
"PAT-FAC-0197","HP","Fuel / Petrol Pump","25.603404","85.153247","NH Corridor (NH139)","27.2","Within 500m (High Direct Access)"
"PAT-FAC-0198","Sanjeevani Hospital","Hospital / Healthcare","25.595046","85.16465","Kumhrar Road","765.4","500m - 1000m (Intermediate Access)"
"PAT-FAC-0199","Patrakar Nagar police station","Police Station / Emergency","25.589719","85.159813","NH Corridor (NH22)","565.6","500m - 1000m (Intermediate Access)"
"PAT-FAC-0200","RHEUMATOLOGY MEDICAL SPECIALITY CLINIC","Hospital / Healthcare","25.626857","85.112557","Ashok Rajpath","727.5","500m - 1000m (Intermediate Access)"
"PAT-FAC-0201","NIRANJAN AAROGYA NIKETAN AND RESEARCH CENTRE","Hospital / Healthcare","25.615322","85.166453","Ashok Raj Path","297.8","Within 500m (High Direct Access)"
"PAT-FAC-0202","AYUSH building, AIIMS Patna","Hospital / Healthcare","25.561554","85.042861","NH Corridor (NH139)","351.4","Within 500m (High Direct Access)"
"PAT-FAC-0203","AIIMS Patna OPD","Hospital / Healthcare","25.562741","85.042012","NH Corridor (NH139)","194.7","Within 500m (High Direct Access)"
"PAT-FAC-0204","In patient Department, AIIMS Patna","Hospital / Healthcare","25.562389","85.041074","NH Corridor (NH139)","176.4","Within 500m (High Direct Access)"
"PAT-FAC-0205","Trauma and Emergency, AIIMS Patna","Hospital / Healthcare","25.562718","85.040416","NH Corridor (NH139)","108.9","Within 500m (High Direct Access)"
"PAT-FAC-0206","Unnamed Hospital / Healthcare (206)","Hospital / Healthcare","25.611252","85.133579","Bailey Road","78.8","Within 500m (High Direct Access)"
"PAT-FAC-0207","Unnamed Hospital / Healthcare (207)","Hospital / Healthcare","25.611863","85.135838","Bailey Road","179.7","Within 500m (High Direct Access)"
"PAT-FAC-0208","Shekhar eye care and laser centre","Hospital / Healthcare","25.622769","85.096489","Atal Path Flyover","780.3","500m - 1000m (Intermediate Access)"
"PAT-FAC-0209","Unnamed Hospital / Healthcare (209)","Hospital / Healthcare","25.632166","85.103791","Atal Path Flyover","383.9","Within 500m (High Direct Access)"
"PAT-FAC-0210","Unnamed Police Station / Emergency (210)","Police Station / Emergency","25.628077","85.110858","Atal Path","740.8","500m - 1000m (Intermediate Access)"
"PAT-FAC-0211","Ridhimaa Medicare and Dental Care","Hospital / Healthcare","25.587601","85.16617","NH Corridor (NH22)","274.3","Within 500m (High Direct Access)"
"PAT-FAC-0212","mediplus hospital","Hospital / Healthcare","25.58682","85.149663","NH Corridor (NH22)","336.7","Within 500m (High Direct Access)"
"PAT-FAC-0213","maa laxmi clinic","Hospital / Healthcare","25.585999","85.150158","NH Corridor (NH22)","242.3","Within 500m (High Direct Access)"
"PAT-FAC-0214","mediglobe multispecialty hospital","Hospital / Healthcare","25.585005","85.14917","NH Corridor (NH22)","140.7","Within 500m (High Direct Access)"
"PAT-FAC-0215","mediglobe multispecialty hospital","Hospital / Healthcare","25.584115","85.150294","NH Corridor (NH22)","33.1","Within 500m (High Direct Access)"
"PAT-FAC-0216","amrit avi hospital","Hospital / Healthcare","25.591094","85.151263","NH Corridor (NH22)","794.1","500m - 1000m (Intermediate Access)"
"PAT-FAC-0217","dr. dipti roy","Hospital / Healthcare","25.590706","85.149671","NH Corridor (NH22)","766","500m - 1000m (Intermediate Access)"
"PAT-FAC-0218","Patna Nutrition and wellness club","Hospital / Healthcare","25.591209","85.149656","NH Corridor (NH22)","821.7","500m - 1000m (Intermediate Access)"
"PAT-FAC-0219","dr. sk singha","Hospital / Healthcare","25.590941","85.14932","NH Corridor (NH22)","794.5","500m - 1000m (Intermediate Access)"
"PAT-FAC-0220","Mohit Medical Hall","Hospital / Healthcare","25.592587","85.150406","NH Corridor (NH22)","966.5","500m - 1000m (Intermediate Access)"
"PAT-FAC-0221","furever clinic pet","Hospital / Healthcare","25.595622","85.150578","NH Corridor (NH139)","849.1","500m - 1000m (Intermediate Access)"
"PAT-FAC-0222","SHRI  SAI COLLEGE OF NURSING AND PARAMEDICAL","College / University","25.596143","85.149526","NH Corridor (NH139)","785.6","500m - 1000m (Intermediate Access)"
"PAT-FAC-0223","Bhawanani Clinic","Hospital / Healthcare","25.591135","85.14917","NH Corridor (NH22)","817","500m - 1000m (Intermediate Access)"
"PAT-FAC-0224","Sharda Medical Hall","Hospital / Healthcare","25.58997","85.149399","NH Corridor (NH22)","686.7","500m - 1000m (Intermediate Access)"
"PAT-FAC-0225","Choudhary Medicals","Hospital / Healthcare","25.591109","85.149347","NH Corridor (NH22)","812.9","500m - 1000m (Intermediate Access)"
"PAT-FAC-0226","SR HOSPITAL","Hospital / Healthcare","25.5875","85.170285","NH Corridor (NH22)","237.2","Within 500m (High Direct Access)"
"PAT-FAC-0227","Dr. Gopal Prasad","Hospital / Healthcare","25.61919","85.114988","Atal Path Flyover","567.5","500m - 1000m (Intermediate Access)"
"PAT-FAC-0228","Patna popular hosp[ital","Hospital / Healthcare","25.585738","85.169859","NH Corridor (NH22)","42.2","Within 500m (High Direct Access)"
"PAT-FAC-0229","DR. BINAY KARAK NEUROLOGISTS CLINIC","Hospital / Healthcare","25.606132","85.159381","Kumhrar Road","372.8","Within 500m (High Direct Access)"
"PAT-FAC-0230","DR. PRABHAT MEMORIAL HIRAMATI HOSPITAL","Hospital / Healthcare","25.610091","85.159121","Kumhrar Road","802.3","500m - 1000m (Intermediate Access)"
"PAT-FAC-0231","PINNACLE HOSPITAL","Hospital / Healthcare","25.607918","85.156486","NH Corridor (NH139)","553.8","500m - 1000m (Intermediate Access)"
"PAT-FAC-0232","AN College Police Station","Police Station / Emergency","25.618831","85.109695","Atal Path Flyover","97","Within 500m (High Direct Access)"
"PAT-FAC-0233","Bihar Burn Hospital","Hospital / Healthcare","25.594382","85.172361","Kumhrar Road","762.9","500m - 1000m (Intermediate Access)"
"PAT-FAC-0234","Bhootnath Diagnostics","Hospital / Healthcare","25.593907","85.173695","Kumhrar Road","796.6","500m - 1000m (Intermediate Access)"
"PAT-FAC-0235","Atharv hospital","Hospital / Healthcare","25.5921","85.170262","NH Corridor (NH22)","746.8","500m - 1000m (Intermediate Access)"
"PAT-FAC-0236","Osho Dhara Hospital","Hospital / Healthcare","25.595454","85.174061","Kumhrar Road","621.8","500m - 1000m (Intermediate Access)"
"PAT-FAC-0237","Nalanda Seva Sadan Hospital","Hospital / Healthcare","25.592749","85.171672","NH Corridor (NH22)","818","500m - 1000m (Intermediate Access)"
"PAT-FAC-0238","CIMS Hospital","Hospital / Healthcare","25.591516","85.174417","NH Corridor (NH22)","680.6","500m - 1000m (Intermediate Access)"
"PAT-FAC-0239","Apna Emergency Hospital","Hospital / Healthcare","25.590054","85.179224","NH Corridor (NH22)","516.2","500m - 1000m (Intermediate Access)"
"PAT-FAC-0240","Pushpanjali Multispecialty Hospital","Hospital / Healthcare","25.592155","85.179611","NH Corridor (NH22)","748.5","500m - 1000m (Intermediate Access)"
"PAT-FAC-0241","Patliputra Hospitals & Research Centre","Hospital / Healthcare","25.589583","85.179417","NH Corridor (NH22)","463.7","Within 500m (High Direct Access)"
"PAT-FAC-0242","Priyadarshani Nishant Hospital","Hospital / Healthcare","25.591625","85.179072","NH Corridor (NH22)","690.4","500m - 1000m (Intermediate Access)"
"PAT-FAC-0243","Hari Hospital","Hospital / Healthcare","25.591202","85.179704","NH Corridor (NH22)","643","500m - 1000m (Intermediate Access)"
"PAT-FAC-0244","Shree Ganesha Hospital","Hospital / Healthcare","25.590894","85.179152","NH Corridor (NH22)","609.4","500m - 1000m (Intermediate Access)"
"PAT-FAC-0245","The City Hospital","Hospital / Healthcare","25.591006","85.17969","NH Corridor (NH22)","621.2","500m - 1000m (Intermediate Access)"
"PAT-FAC-0246","Sindhu Advanced Child Care Center","Hospital / Healthcare","25.588626","85.17923","NH Corridor (NH22)","357.9","Within 500m (High Direct Access)"
"PAT-FAC-0247","shankar medical","Hospital / Healthcare","25.590714","85.164005","NH Corridor (NH22)","637.7","500m - 1000m (Intermediate Access)"
"PAT-FAC-0248","agam kuaa thana","Police Station / Emergency","25.589705","85.169508","NH Corridor (NH22)","482.1","Within 500m (High Direct Access)"
"PAT-FAC-0249","vijay nuirsing home","Hospital / Healthcare","25.590734","85.163833","NH Corridor (NH22)","641.7","500m - 1000m (Intermediate Access)"
"PAT-FAC-0250","kali mandir medical","Hospital / Healthcare","25.590614","85.162636","NH Corridor (NH22)","639.1","500m - 1000m (Intermediate Access)"
"PAT-FAC-0251","sunil medical","Hospital / Healthcare","25.590764","85.163673","NH Corridor (NH22)","646.6","500m - 1000m (Intermediate Access)"
"PAT-FAC-0252","mamta kunj","Hospital / Healthcare","25.625943","85.053455","Patna Bypass / Expressway Corridor","959.6","500m - 1000m (Intermediate Access)"
"PAT-FAC-0253","Unnamed Hospital / Healthcare (253)","Hospital / Healthcare","25.627393","85.054533","Patna Bypass / Expressway Corridor","1152.7","1000m - 2000m (Secondary Access)"
"PAT-FAC-0254","mini pet care","Hospital / Healthcare","25.625161","85.052491","Patna Bypass / Expressway Corridor","831.6","500m - 1000m (Intermediate Access)"
"PAT-FAC-0255","orthocare and speciality","Hospital / Healthcare","25.624688","85.054627","Patna Bypass / Expressway Corridor","938.2","500m - 1000m (Intermediate Access)"
"PAT-FAC-0256","sasmay hospital","Hospital / Healthcare","25.619336","85.042103","NH Corridor (NH922)","294.6","Within 500m (High Direct Access)"
"PAT-FAC-0257","prathma blood care centre","Hospital / Healthcare","25.610721","85.057412","NH Corridor (NH922)","42.1","Within 500m (High Direct Access)"
"PAT-FAC-0258","High Tech","Hospital / Healthcare","25.621033","85.040744","NH Corridor (NH922)","232.6","Within 500m (High Direct Access)"
"PAT-FAC-0259","Indian Oil","Fuel / Petrol Pump","25.583065","85.114238","NH Corridor (NH139)","45.9","Within 500m (High Direct Access)"
"PAT-FAC-0260","Lokpriye Hospital","Hospital / Healthcare","25.561967","85.177025","Primary Arterial (SH1)","753","500m - 1000m (Intermediate Access)"
"PAT-FAC-0261","Meditech Hospital & Sports Injury Centre","Hospital / Healthcare","25.611307","85.075698","Bailey Road Flyover","594.2","500m - 1000m (Intermediate Access)"
"PAT-FAC-0262","Unnamed Police Station / Emergency (262)","Police Station / Emergency","25.630116","85.100655","Atal Path Flyover","3.9","Within 500m (High Direct Access)"
"PAT-FAC-0263","Unnamed Hospital / Healthcare (263)","Hospital / Healthcare","25.638465","85.109426","Ashok Rajpath","18.3","Within 500m (High Direct Access)"
"PAT-FAC-0264","DR AK Chamdra","Hospital / Healthcare","25.638313","85.109312","Ashok Rajpath","38.4","Within 500m (High Direct Access)"
"PAT-FAC-0265","Unnamed Police Station / Emergency (265)","Police Station / Emergency","25.612563","85.118844","Patna Bypass / Expressway Corridor","289.1","Within 500m (High Direct Access)"
"PAT-FAC-0266","Unnamed Hospital / Healthcare (266)","Hospital / Healthcare","25.618978","85.08404","Bailey Road Flyover","1538","1000m - 2000m (Secondary Access)"
"PAT-FAC-0267","Dr B K Rai","Hospital / Healthcare","25.621501","85.087437","Atal Path Flyover","1625.4","1000m - 2000m (Secondary Access)"
"PAT-FAC-0268","Dr D K Singh's MultiSpeciality Dental Clinic & Implant Center","Hospital / Healthcare","25.618832","85.085453","Bailey Road Flyover","1539.2","1000m - 2000m (Secondary Access)"
"PAT-FAC-0269","Unnamed Hospital / Healthcare (269)","Hospital / Healthcare","25.618839","85.085389","Bailey Road Flyover","1539.1","1000m - 2000m (Secondary Access)"
"PAT-FAC-0270","Unnamed Hospital / Healthcare (270)","Hospital / Healthcare","25.621782","85.088857","Atal Path Flyover","1488","1000m - 2000m (Secondary Access)"
"PAT-FAC-0271","Narayana Cancer Centre","Hospital / Healthcare","25.627692","85.097898","Atal Path Flyover","371.1","Within 500m (High Direct Access)"
"PAT-FAC-0272","Super Clinic","Hospital / Healthcare","25.624513","85.096933","Atal Path Flyover","639.8","500m - 1000m (Intermediate Access)"
"PAT-FAC-0273","Krishna Cardiac Center","Hospital / Healthcare","25.620712","85.115583","Atal Path Flyover","708.2","500m - 1000m (Intermediate Access)"
"PAT-FAC-0274","Unnamed Police Station / Emergency (274)","Police Station / Emergency","25.630239","85.100645","Atal Path Flyover","2.7","Within 500m (High Direct Access)"
"PAT-FAC-0275","Unnamed Police Station / Emergency (275)","Police Station / Emergency","25.616584","85.110043","Atal Path Flyover","2.6","Within 500m (High Direct Access)"
"PAT-FAC-0276","Unnamed Police Station / Emergency (276)","Police Station / Emergency","25.629421","85.10409","Atal Path Flyover","248.8","Within 500m (High Direct Access)"
"PAT-FAC-0277","Unnamed Police Station / Emergency (277)","Police Station / Emergency","25.610951","85.11776","Patna Bypass / Expressway Corridor","83.1","Within 500m (High Direct Access)"
"PAT-FAC-0278","Buddha Cancer Centre, Patna","Hospital / Healthcare","25.612236","85.063466","NH Corridor (NH922)","348.6","Within 500m (High Direct Access)"
"PAT-FAC-0279","Unnamed Hospital / Healthcare (279)","Hospital / Healthcare","25.627486","85.104332","Atal Path Flyover","153.1","Within 500m (High Direct Access)"
"PAT-FAC-0280","RUDRA DENTAL CLINIC","Hospital / Healthcare","25.575353","85.142406","NH Corridor (NH22)","958.4","500m - 1000m (Intermediate Access)"
