"Facility_ID","Facility_Name","Facility_Type","Latitude","Longitude","Nearest_Major_Road","Distance_to_Highway_m","Buffer_Zone"
"PAT-FAC-0042","Rajendra Memorial Research Institute of Medical Sciences","Hospital / Healthcare","25.59975","85.197518","Flyover","160.3","Within 500m (High Direct Access)"
"PAT-FAC-0043","Rajeshwar Hospital, Patna","Hospital / Healthcare","25.601275","85.168603","Kumhrar Road","22","Within 500m (High Direct Access)"
"PAT-FAC-0044","E N T Hospital and Research Centre","Hospital / Healthcare","25.600175","85.161965","Kumhrar Road","224.2","Within 500m (High Direct Access)"
"PAT-FAC-0045","Ishwar Dayal Memorial Hospital","Hospital / Healthcare","25.585069","85.161721","NH Corridor (NH22)","35.7","Within 500m (High Direct Access)"
"PAT-FAC-0046","Jagdamba Nursing Home, Patna","Hospital / Healthcare","25.6085","85.116431","Patna Bypass / Expressway Corridor","40.2","Within 500m (High Direct Access)"
"PAT-FAC-0047","Avadh Eye Hospital- Dr Arjun Kumar Singh","Hospital / Healthcare","25.60223","85.150048","NH Corridor (NH139)","114.9","Within 500m (High Direct Access)"
"PAT-FAC-0048","Patliputra Divine Hospital Pvt Ltd","Hospital / Healthcare","25.599094","85.163844","Kumhrar Road","329.9","Within 500m (High Direct Access)"
"PAT-FAC-0049","Netradham Eye Hospital","Hospital / Healthcare","25.611292","85.115858","Atal Path","170.2","Within 500m (High Direct Access)"
"PAT-FAC-0050","Popular Nursing Home, Patna","Hospital / Healthcare","25.618389","85.163966","Ashok Raj Path","47.2","Within 500m (High Direct Access)"
"PAT-FAC-0051","Prakash Hospital, Patna","Hospital / Healthcare","25.600428","85.14707","Chiriya Taar overbridge","288.8","Within 500m (High Direct Access)"
"PAT-FAC-0052","Mahavir Vaatsalya Aspatal","Hospital / Healthcare","25.630388","85.117479","Ashok Rajpath","103.4","Within 500m (High Direct Access)"
"PAT-FAC-0053","Ford Hospital","Hospital / Healthcare","25.584241","85.163022","NH Corridor (NH22)","58.4","Within 500m (High Direct Access)"
"PAT-FAC-0054","Hope Child Care and Research Centre","Hospital / Healthcare","25.597152","85.159757","Kumhrar Road","581.4","500m - 1000m (Intermediate Access)"
"PAT-FAC-0055","Heart Hospital, Patna","Hospital / Healthcare","25.599999","85.159602","Kumhrar Road","273.5","Within 500m (High Direct Access)"
"PAT-FAC-0056","I Care Eye Hospital and Research Centre","Hospital / Healthcare","25.598205","85.179887","Kumhrar Road","288.2","Within 500m (High Direct Access)"
"PAT-FAC-0057","Chand Memorial Hospital","Hospital / Healthcare","25.628023","85.105107","Atal Path Flyover","250.8","Within 500m (High Direct Access)"
"PAT-FAC-0058","Sahyog Hospital, Patna","Hospital / Healthcare","25.629098","85.108265","Atal Path Flyover","581.8","500m - 1000m (Intermediate Access)"
"PAT-FAC-0059","Narain Nursing Home","Hospital / Healthcare","25.625858","85.11335","Ashok Rajpath","747.1","500m - 1000m (Intermediate Access)"
"PAT-FAC-0060","Jagdish Memorial Hospital","Hospital / Healthcare","25.598988","85.157278","kankarbagh main road","425.3","Within 500m (High Direct Access)"
"PAT-FAC-0061","K. B. Surgical Clinic","Hospital / Healthcare","25.611272","85.114654","Atal Path","65.4","Within 500m (High Direct Access)"
"PAT-FAC-0062","Life Care Maternity Home","Hospital / Healthcare","25.573979","85.069177","NH Corridor (NH139)","287.1","Within 500m (High Direct Access)"
"PAT-FAC-0063","Manav Orthopaedic Clinic And Maternity Home","Hospital / Healthcare","25.593287","85.172968","Kumhrar Road","874.6","500m - 1000m (Intermediate Access)"
"PAT-FAC-0064","Manas Nursing Home, Patna","Hospital / Healthcare","25.598678","85.156028","kankarbagh main road","462.4","Within 500m (High Direct Access)"
"PAT-FAC-0065","Om Nursing Home, Patna","Hospital / Healthcare","25.57815","85.14196","NH Corridor (NH22)","655.7","500m - 1000m (Intermediate Access)"
"PAT-FAC-0066","Maulana Sajjad Memorial Hospital","Hospital / Healthcare","25.578182","85.07211","NH Corridor (NH139)","22.7","Within 500m (High Direct Access)"
"PAT-FAC-0067","New Born Care Centre (P) Ltd","Hospital / Healthcare","25.608789","85.159452","Kumhrar Road","663.9","500m - 1000m (Intermediate Access)"
"PAT-FAC-0068","Manokamna Health Care","Hospital / Healthcare","25.598934","85.227351","Ashok Raj Path","47.4","Within 500m (High Direct Access)"
"PAT-FAC-0069","Om Eye Clinic and Phaco Centre - Patna","Hospital / Healthcare","25.594575","85.148206","Chiriya Taar overbridge","946.6","500m - 1000m (Intermediate Access)"
"PAT-FAC-0070","Nav Sharda Aspatal Pvt Ltd","Hospital / Healthcare","25.593376","85.1562","Patna Bypass / Expressway Corridor","998.5","500m - 1000m (Intermediate Access)"
"PAT-FAC-0071","Shubham Maternity Centre","Hospital / Healthcare","25.590605","85.159551","NH Corridor (NH22)","666","500m - 1000m (Intermediate Access)"
"PAT-FAC-0072","Max Care Hospital And Research Institute Pvt. Ltd.","Hospital / Healthcare","25.609581","85.091432","Bailey Road Flyover","560.6","500m - 1000m (Intermediate Access)"
"PAT-FAC-0073","Ashutosh Memorial Hospital","Hospital / Healthcare","25.588128","85.054514","Neora Road","504.3","500m - 1000m (Intermediate Access)"
"PAT-FAC-0074","Apollo Trauma Centre","Hospital / Healthcare","25.600293","85.156119","kankarbagh main road","283.2","Within 500m (High Direct Access)"
"PAT-FAC-0075","Chanakya Hospital","Hospital / Healthcare","25.60002","85.159961","Kumhrar Road","264.7","Within 500m (High Direct Access)"
"PAT-FAC-0076","Adarsh Life Care Hospital Pvt. Ltd","Hospital / Healthcare","25.586188","85.158292","NH Corridor (NH22)","188.7","Within 500m (High Direct Access)"
"PAT-FAC-0077","Drishti Eye Care And Research Centre","Hospital / Healthcare","25.599895","85.16058","Kumhrar Road","269.5","Within 500m (High Direct Access)"
"PAT-FAC-0078","Dr. Vimal Hospital and Research Center","Hospital / Healthcare","25.620163","85.043337","NH Corridor (NH922)","144.3","Within 500m (High Direct Access)"
